order_id,order_date,product,category,quantity,price,total_sales,city,store,sales_channel,payment_method,discount,profit
ORD10032,16/06/2024,Stapler,Stationery,4,143.31,452.86,Lagos,Store B,Online,Cash,0.21,56.71
ORD10033,30/05/2024,Bookshelf,Furniture,3,36.53,95.34,Abuja,Store B,Online,Card,0.13,31.45
ORD10034,07/12/2024,Pen Pack,Stationery,2,93.18,162.13,Abuja,Store C,Online,Mobile Money,0.13,18.18
ORD10035,21/07/2024,Laptop Sleeve,Accessories,3,164.71,390.36,Port Harcourt,Store B,Offline,Mobile Money,0.21,83.27
ORD10036,30/10/2024,Bluetooth Speaker,Electronics,5,10.58,43.91,Abuja,Store B,Offline,Transfer,0.17,10.76
ORD10037,31/03/2024,Laptop Sleeve,Accessories,4,55.79,218.7,Kano,Store C,Offline,Cash,0.02,48.44
ORD10038,21/06/2024,Bookshelf,Furniture,4,207.65,631.26,Kano,Store C,Online,Card,0.24,175.62
ORD10039,08/06/2024,Keyboard,Electronics,3,52.04,126.46,Port Harcourt,Store C,Offline,Cash,0.19,40.56
ORD10040,19/10/2024,Laptop Sleeve,Accessories,1,257.6,200.93,Ibadan,Store B,Online,Transfer,0.22,68.32
ORD10041,20/07/2024,Phone Case,Accessories,5,217.28,869.12,Port Harcourt,Store D,Online,Card,0.2,194.47
ORD10042,12/03/2024,Laptop Stand,Electronics,1,83.92,64.62,Kano,Store A,Offline,Cash,0.23,21.96
ORD10043,06/09/2024,Backpack,Accessories,4,53.6,197.25,Abuja,Store A,Offline,Mobile Money,0.08,25.95
ORD10044,07/04/2024,Laptop Stand,Electronics,3,78.22,190.07,Kano,Store D,Online,Card,0.19,19.2
ORD10045,08/06/2024,Bookshelf,Furniture,2,55.99,107.5,Kano,Store C,Offline,Cash,0.04,16.14
ORD10046,15/07/2024,Desk Organizer,Stationery,4,257.43,834.07,Abuja,Store C,Online,Card,0.19,202.38
ORD10047,28/11/2024,Keyboard,Electronics,1,165.86,126.05,Abuja,Store A,Offline,Transfer,0.24,36.59
ORD10048,18/08/2024,Laptop Sleeve,Accessories,3,228.79,631.46,Port Harcourt,Store C,Offline,Transfer,0.08,82.71
ORD10049,21/11/2024,Phone Case,Accessories,4,117.8,405.23,Kano,Store B,Offline,Mobile Money,0.14,141.31
ORD10050,02/01/2024,Pen Pack,Stationery,4,187.91,653.93,Ibadan,Store D,Offline,Transfer,0.13,124.15
ORD10051,27/07/2024,Bluetooth Speaker,Electronics,2,193.9,325.75,Abuja,Store D,Offline,Cash,0.16,83.85
ORD10052,16/12/2024,Keyboard,Electronics,1,108.09,100.52,Kano,Store C,Online,Mobile Money,0.07,27.84
ORD10053,29/10/2024,Desk Organizer,Stationery,2,142.8,282.74,Ibadan,Store A,Offline,Card,0.01,64.34
ORD10054,24/07/2024,Phone Case,Accessories,2,154.61,235.01,Port Harcourt,Store C,Online,Cash,0.24,64.07
ORD10055,03/12/2024,Bookshelf,Furniture,3,25.22,62.8,Port Harcourt,Store D,Online,Cash,0.17,20.57
ORD10056,29/03/2024,Stapler,Stationery,3,184.85,521.28,Ibadan,Store C,Offline,Cash,0.06,125.24
ORD10057,09/08/2024,Pen Pack,Stationery,1,256.27,199.89,Abuja,Store C,Online,Card,0.22,40.11
ORD10058,14/05/2024,Drawer Cabinet,Furniture,5,274.38,1124.96,Ibadan,Store B,Online,Cash,0.18,283
ORD10059,14/12/2024,Backpack,Accessories,3,226.66,639.18,Port Harcourt,Store A,Online,Cash,0.06,178.68
ORD10060,01/11/2024,Backpack,Accessories,4,278.94,847.98,Lagos,Store B,Online,Mobile Money,0.24,94.33
ORD10061,23/07/2024,Backpack,Accessories,3,39.83,99.18,Abuja,Store D,Offline,Mobile Money,0.17,12.28
ORD10062,18/04/2024,Standing Desk,Furniture,2,246.94,434.61,Ibadan,Store C,Offline,Mobile Money,0.12,106.47
ORD10063,12/06/2024,USB Cable,Electronics,1,18.63,14.9,Ibadan,Store C,Online,Mobile Money,0.2,4.68
ORD10064,30/01/2024,Standing Desk,Furniture,1,9.48,9.1,Kano,Store D,Offline,Cash,0.04,2.42
ORD10065,07/03/2024,Bluetooth Speaker,Electronics,3,272.29,808.7,Lagos,Store C,Online,Mobile Money,0.01,93.17
ORD10066,08/04/2024,USB Cable,Electronics,1,152.4,147.83,Ibadan,Store D,Offline,Transfer,0.03,25.1
ORD10067,28/06/2024,Pen Pack,Stationery,2,22.75,35.04,Ibadan,Store A,Offline,Mobile Money,0.23,8.68
ORD10068,07/02/2024,Drawer Cabinet,Furniture,1,215.5,174.56,Port Harcourt,Store B,Online,Cash,0.19,48.93
ORD10069,19/09/2024,USB Cable,Electronics,4,256.39,1015.3,Ibadan,Store C,Online,Transfer,0.01,124.68
ORD10070,28/12/2024,USB Cable,Electronics,5,14.79,61.38,Ibadan,Store A,Offline,Card,0.17,19.88
ORD10071,13/05/2024,Stapler,Stationery,1,94.04,74.29,Port Harcourt,Store B,Offline,Mobile Money,0.21,8.51
ORD10072,18/06/2024,Laptop Stand,Electronics,1,130.32,122.5,Port Harcourt,Store D,Offline,Card,0.06,29.31
ORD10073,25/12/2024,Drawer Cabinet,Furniture,5,296.47,1215.53,Kano,Store A,Offline,Cash,0.18,375.23
ORD10074,21/10/2024,Bookshelf,Furniture,4,158.72,622.18,Lagos,Store A,Offline,Transfer,0.02,115.94
ORD10075,13/09/2024,Backpack,Accessories,3,109.02,300.9,Lagos,Store A,Online,Transfer,0.08,86.4
ORD10076,05/07/2024,Stapler,Stationery,5,25.31,96.18,Ibadan,Store A,Online,Cash,0.24,21.15
ORD10077,25/12/2024,Keyboard,Electronics,4,174.8,524.4,Kano,Store C,Offline,Transfer,0.25,155.22
ORD10078,15/01/2024,Backpack,Accessories,4,181.49,660.62,Abuja,Store C,Online,Cash,0.09,149.89
ORD10079,06/10/2024,USB Cable,Electronics,4,282.06,959,Port Harcourt,Store A,Online,Transfer,0.15,290.51
ORD10080,21/04/2024,Keyboard,Electronics,5,194.1,766.7,Abuja,Store D,Online,Transfer,0.21,228.9
ORD10081,30/04/2024,Laptop Sleeve,Accessories,3,69.88,199.16,Ibadan,Store D,Offline,Cash,0.05,44.49
ORD10082,13/04/2024,Laptop Sleeve,Accessories,1,245.14,183.85,Lagos,Store D,Offline,Card,0.25,30.18
ORD10083,22/08/2024,Laptop Sleeve,Accessories,5,239.89,1019.53,Lagos,Store B,Offline,Card,0.15,112.18
ORD10084,05/10/2024,Laptop Stand,Electronics,5,266.72,1080.22,Kano,Store C,Offline,Mobile Money,0.19,370.19
ORD10085,24/03/2024,Desk Organizer,Stationery,3,43.63,116.49,Port Harcourt,Store A,Offline,Card,0.11,15.74
ORD10086,10/01/2024,Desk Organizer,Stationery,4,88.06,295.88,Lagos,Store A,Online,Mobile Money,0.16,85.14
ORD10087,03/09/2024,Desk Organizer,Stationery,3,239.79,654.63,Port Harcourt,Store D,Offline,Card,0.09,188.1
ORD10088,13/05/2024,Backpack,Accessories,2,127.48,254.96,Port Harcourt,Store B,Offline,Mobile Money,0,36.46
ORD10089,05/09/2024,Stapler,Stationery,4,208.94,743.83,Abuja,Store D,Offline,Mobile Money,0.11,218.87
ORD10090,22/02/2024,Wireless Mouse,Electronics,2,65.81,126.36,Port Harcourt,Store B,Offline,Card,0.04,35.7
ORD10091,27/01/2024,Laptop Sleeve,Accessories,2,251.14,492.23,Kano,Store B,Offline,Transfer,0.02,124.52
ORD10092,15/05/2024,Wireless Mouse,Electronics,5,205.33,811.05,Port Harcourt,Store B,Offline,Card,0.21,231.38
ORD10093,11/09/2024,Office Chair,Furniture,4,41.52,147.81,Ibadan,Store A,Offline,Card,0.11,39.98
ORD10094,01/08/2024,Drawer Cabinet,Furniture,5,272.09,1292.43,Kano,Store C,Offline,Cash,0.05,297.5
ORD10095,28/12/2024,Desk Organizer,Stationery,1,7.53,5.65,Port Harcourt,Store A,Offline,Transfer,0.25,1.49
ORD10096,07/03/2024,USB Cable,Electronics,5,86,352.6,Port Harcourt,Store B,Offline,Card,0.18,71.55
ORD10097,19/04/2024,Drawer Cabinet,Furniture,3,87.54,217.97,Ibadan,Store C,Offline,Cash,0.17,36.35
ORD10098,18/08/2024,Pen Pack,Stationery,5,228.88,938.41,Kano,Store B,Online,Transfer,0.18,230.04
ORD10099,12/03/2024,Standing Desk,Furniture,3,188.65,498.04,Port Harcourt,Store B,Online,Card,0.12,64.55
ORD10100,06/06/2024,Office Chair,Furniture,2,171.16,297.82,Ibadan,Store C,Online,Card,0.13,78.92
ORD10101,23/06/2024,Pen Pack,Stationery,1,224.2,208.51,Port Harcourt,Store D,Online,Card,0.07,53.46
ORD10102,20/10/2024,Stapler,Stationery,2,38.45,59.98,Lagos,Store C,Online,Card,0.22,8.15
ORD10103,10/02/2024,Laptop Stand,Electronics,3,78.44,204.73,Abuja,Store D,Offline,Cash,0.13,38.99
ORD10104,27/02/2024,Laptop Stand,Electronics,3,7.35,17.2,Port Harcourt,Store B,Offline,Mobile Money,0.22,5.84
ORD10105,20/07/2024,Keyboard,Electronics,5,218.99,963.56,Port Harcourt,Store B,Offline,Cash,0.12,197.22
ORD10106,20/05/2024,Keyboard,Electronics,5,37.41,175.83,Kano,Store A,Offline,Transfer,0.06,57.02
ORD10107,01/12/2024,Desk Organizer,Stationery,2,123.97,240.5,Kano,Store C,Online,Transfer,0.03,46.51
ORD10108,20/04/2024,Laptop Sleeve,Accessories,2,50.95,78.46,Ibadan,Store C,Offline,Transfer,0.23,10.63
ORD10109,15/03/2024,Standing Desk,Furniture,4,250.77,902.77,Port Harcourt,Store C,Online,Card,0.1,310.71
ORD10110,09/08/2024,Drawer Cabinet,Furniture,5,282.98,1372.45,Kano,Store D,Offline,Transfer,0.03,147.66
ORD10111,26/11/2024,Backpack,Accessories,5,141.29,692.32,Lagos,Store A,Online,Cash,0.02,204.09
ORD10112,23/12/2024,Stapler,Stationery,5,273.15,1147.23,Abuja,Store B,Online,Transfer,0.16,344.77
ORD10113,26/06/2024,Office Chair,Furniture,1,275.32,253.29,Port Harcourt,Store A,Offline,Mobile Money,0.08,81.04
ORD10114,01/05/2024,Backpack,Accessories,3,227.4,620.8,Kano,Store B,Online,Transfer,0.09,185.96
ORD10115,29/12/2024,Keyboard,Electronics,2,165.2,277.54,Lagos,Store A,Offline,Cash,0.16,89.81
ORD10116,17/06/2024,Laptop Sleeve,Accessories,2,122.19,229.72,Abuja,Store D,Offline,Transfer,0.06,37.23
ORD10117,06/09/2024,Laptop Sleeve,Accessories,2,132.44,238.39,Port Harcourt,Store B,Online,Card,0.1,31.02
ORD10118,22/08/2024,Backpack,Accessories,1,240.71,202.2,Ibadan,Store C,Online,Cash,0.16,67.81
ORD10119,26/04/2024,Laptop Stand,Electronics,1,142.01,113.61,Kano,Store D,Online,Cash,0.2,31.38
ORD10120,12/10/2024,Phone Case,Accessories,2,106.03,199.34,Abuja,Store B,Offline,Card,0.06,58.56
ORD10121,24/12/2024,Drawer Cabinet,Furniture,2,239.35,368.6,Kano,Store A,Online,Mobile Money,0.23,103.63
ORD10122,24/11/2024,Phone Case,Accessories,5,194.95,877.27,Ibadan,Store A,Online,Card,0.1,210.54
ORD10123,14/10/2024,Laptop Stand,Electronics,4,87.03,313.31,Port Harcourt,Store D,Offline,Cash,0.1,77.93
ORD10124,18/03/2024,Laptop Sleeve,Accessories,4,243.47,857.01,Port Harcourt,Store C,Online,Card,0.12,145.36
ORD10125,16/10/2024,Stapler,Stationery,2,81.25,152.75,Ibadan,Store A,Online,Cash,0.06,29.95
ORD10126,05/10/2024,Pen Pack,Stationery,2,25.79,44.36,Ibadan,Store B,Online,Mobile Money,0.14,11.29
ORD10127,07/12/2024,Laptop Sleeve,Accessories,2,29.36,45.21,Lagos,Store A,Offline,Mobile Money,0.23,6.25
ORD10128,07/02/2024,Laptop Sleeve,Accessories,2,179.35,347.94,Abuja,Store D,Online,Transfer,0.03,81.64
ORD10129,14/03/2024,Drawer Cabinet,Furniture,3,225.97,650.79,Port Harcourt,Store D,Offline,Card,0.04,113.54
ORD10130,22/02/2024,Pen Pack,Stationery,4,11.46,36.67,Kano,Store C,Offline,Transfer,0.2,9.37
ORD10131,22/02/2024,Wireless Mouse,Electronics,3,52.17,151.81,Lagos,Store D,Online,Cash,0.03,50.22
ORD10132,09/03/2024,Phone Case,Accessories,2,246.69,444.04,Kano,Store C,Online,Card,0.1,146.89
ORD10133,26/03/2024,Drawer Cabinet,Furniture,4,165.77,623.3,Kano,Store B,Offline,Transfer,0.06,68.21
ORD10134,05/04/2024,Backpack,Accessories,3,150.72,375.29,Kano,Store A,Offline,Card,0.17,115.76
ORD10135,04/05/2024,Phone Case,Accessories,4,247.75,862.17,Lagos,Store A,Online,Mobile Money,0.13,285.46
ORD10136,24/09/2024,Phone Case,Accessories,2,180.62,343.18,Port Harcourt,Store B,Online,Transfer,0.05,78.05
ORD10137,16/03/2024,Laptop Stand,Electronics,1,140.25,110.8,Port Harcourt,Store D,Online,Card,0.21,15.98
ORD10138,20/07/2024,Phone Case,Accessories,4,240.02,758.46,Port Harcourt,Store C,Offline,Card,0.21,198.36
ORD10139,01/11/2024,Phone Case,Accessories,4,94.86,307.35,Kano,Store C,Online,Transfer,0.19,91.84
ORD10140,20/10/2024,Backpack,Accessories,5,238.31,1024.73,Kano,Store A,Online,Transfer,0.14,131.55
ORD10141,20/11/2024,Stapler,Stationery,5,15.17,69.02,Lagos,Store D,Offline,Card,0.09,8.18
ORD10142,25/02/2024,Bookshelf,Furniture,3,68.11,159.38,Ibadan,Store C,Offline,Transfer,0.22,21.84
ORD10143,06/05/2024,Stapler,Stationery,5,113.7,466.17,Port Harcourt,Store D,Offline,Card,0.18,136.07
ORD10144,24/11/2024,USB Cable,Electronics,3,127.07,369.77,Port Harcourt,Store B,Online,Card,0.03,87.9
ORD10145,14/04/2024,Desk Organizer,Stationery,1,222.58,204.77,Kano,Store A,Offline,Transfer,0.08,65.19
ORD10146,15/01/2024,Pen Pack,Stationery,1,135.46,123.27,Port Harcourt,Store D,Online,Card,0.09,35.36
ORD10147,16/09/2024,Phone Case,Accessories,2,73.69,125.27,Lagos,Store C,Offline,Cash,0.15,43.02
ORD10148,22/04/2024,Laptop Stand,Electronics,4,103.8,315.55,Lagos,Store A,Offline,Card,0.24,88.61
ORD10149,25/09/2024,Bookshelf,Furniture,5,16.76,78.77,Abuja,Store A,Online,Cash,0.06,25.35
ORD10150,30/11/2024,Backpack,Accessories,2,149.69,272.44,Lagos,Store B,Online,Cash,0.09,53.94
ORD10151,23/02/2024,Desk Organizer,Stationery,5,144.84,716.96,Kano,Store D,Offline,Transfer,0.01,75.4
ORD10152,07/11/2024,Bluetooth Speaker,Electronics,2,211.98,339.17,Kano,Store D,Offline,Mobile Money,0.2,114.64
ORD10153,03/10/2024,Bookshelf,Furniture,5,93.95,380.5,Port Harcourt,Store C,Offline,Card,0.19,75.76
ORD10154,24/12/2024,Bluetooth Speaker,Electronics,4,268.11,1008.09,Ibadan,Store C,Online,Mobile Money,0.06,212.75
ORD10155,04/10/2024,Phone Case,Accessories,1,110.11,88.09,Lagos,Store C,Offline,Card,0.2,8.99
ORD10156,16/04/2024,Stapler,Stationery,3,178.81,429.14,Lagos,Store C,Online,Card,0.2,136.29
ORD10157,24/12/2024,Bookshelf,Furniture,4,184.19,692.55,Abuja,Store C,Offline,Transfer,0.06,235.88
ORD10158,11/04/2024,Backpack,Accessories,5,292.05,1168.2,Ibadan,Store B,Online,Cash,0.2,367.38
ORD10159,02/06/2024,Standing Desk,Furniture,4,116.91,392.82,Port Harcourt,Store A,Offline,Mobile Money,0.16,110
ORD10160,19/09/2024,Phone Case,Accessories,2,14.2,25.84,Ibadan,Store C,Online,Transfer,0.09,6.16
ORD10161,28/02/2024,Desk Organizer,Stationery,1,253.39,205.25,Kano,Store B,Offline,Mobile Money,0.19,53.3
ORD10162,07/03/2024,Pen Pack,Stationery,1,35.23,30.65,Port Harcourt,Store A,Online,Cash,0.13,6.98
ORD10163,05/01/2024,Wireless Mouse,Electronics,4,220.86,697.92,Lagos,Store C,Offline,Card,0.21,81.34
ORD10164,24/09/2024,Keyboard,Electronics,2,143.34,266.61,Port Harcourt,Store B,Online,Cash,0.07,65.43
ORD10165,16/06/2024,Phone Case,Accessories,2,291.21,477.58,Ibadan,Store A,Online,Cash,0.18,51.98
ORD10166,31/01/2024,USB Cable,Electronics,2,71.34,131.27,Port Harcourt,Store B,Online,Mobile Money,0.08,39.58
ORD10167,15/02/2024,Standing Desk,Furniture,1,225.55,171.42,Ibadan,Store B,Online,Cash,0.24,19.64
ORD10168,22/04/2024,Wireless Mouse,Electronics,2,20.94,34.34,Port Harcourt,Store C,Offline,Cash,0.18,4.18
ORD10169,03/12/2024,Laptop Stand,Electronics,2,101.1,184,Kano,Store D,Offline,Card,0.09,53.56
ORD10170,28/02/2024,Phone Case,Accessories,4,263.82,812.57,Abuja,Store A,Offline,Transfer,0.23,204.14
ORD10171,29/08/2024,Stapler,Stationery,3,125.73,343.24,Kano,Store A,Offline,Cash,0.09,61.43
ORD10172,17/03/2024,Pen Pack,Stationery,3,172.21,402.97,Abuja,Store D,Online,Cash,0.22,111.96
ORD10173,21/05/2024,Office Chair,Furniture,5,79.9,363.55,Ibadan,Store C,Online,Mobile Money,0.09,65
ORD10174,05/02/2024,Bookshelf,Furniture,4,275.33,870.04,Abuja,Store D,Online,Card,0.21,235.89
ORD10175,14/09/2024,Bookshelf,Furniture,3,154.79,362.21,Port Harcourt,Store C,Online,Cash,0.22,113.91
ORD10176,01/02/2024,Phone Case,Accessories,3,266.15,654.73,Abuja,Store C,Offline,Mobile Money,0.18,196.15
ORD10177,10/04/2024,Bookshelf,Furniture,1,73.37,68.23,Lagos,Store B,Online,Transfer,0.07,16.52
ORD10178,03/10/2024,Pen Pack,Stationery,2,72.28,133,Kano,Store D,Offline,Mobile Money,0.08,30.28
ORD10179,13/03/2024,Bookshelf,Furniture,2,132.76,260.21,Abuja,Store B,Online,Cash,0.02,39.37
ORD10180,13/12/2024,Backpack,Accessories,2,19.54,35.56,Abuja,Store A,Offline,Cash,0.09,8.98
ORD10181,10/01/2024,Pen Pack,Stationery,5,208.96,825.39,Abuja,Store C,Offline,Card,0.21,228.39
ORD10182,12/06/2024,Laptop Stand,Electronics,4,169.95,659.41,Kano,Store C,Offline,Card,0.03,77.2
ORD10183,26/11/2024,Backpack,Accessories,4,256.07,952.58,Port Harcourt,Store A,Online,Transfer,0.07,331.31
ORD10184,06/09/2024,Bookshelf,Furniture,3,251.09,708.07,Ibadan,Store A,Offline,Cash,0.06,125.01
ORD10185,01/07/2024,Notebook,Stationery,1,132.27,101.85,Kano,Store D,Offline,Transfer,0.23,15.72
ORD10186,17/10/2024,Bookshelf,Furniture,2,108.76,195.77,Abuja,Store D,Offline,Cash,0.1,45.14
ORD10187,06/02/2024,Laptop Sleeve,Accessories,2,16.14,27.12,Lagos,Store D,Offline,Transfer,0.16,3.25
ORD10188,18/08/2024,Drawer Cabinet,Furniture,4,8.9,30.62,Abuja,Store C,Online,Transfer,0.14,7.37
ORD10189,15/02/2024,Desk Organizer,Stationery,2,207.87,345.06,Ibadan,Store C,Online,Cash,0.17,60.7
ORD10190,29/03/2024,Drawer Cabinet,Furniture,1,286.49,246.38,Kano,Store D,Offline,Card,0.14,84.38
ORD10191,26/08/2024,Office Chair,Furniture,4,198.06,689.25,Lagos,Store C,Offline,Cash,0.13,239.1
ORD10192,06/06/2024,Bookshelf,Furniture,2,58.24,89.69,Abuja,Store D,Offline,Mobile Money,0.23,22.81
ORD10193,15/04/2024,Pen Pack,Stationery,5,186.6,709.08,Port Harcourt,Store B,Online,Transfer,0.24,175.86
ORD10194,13/08/2024,Bluetooth Speaker,Electronics,4,215.4,749.59,Ibadan,Store D,Offline,Cash,0.13,108.49
ORD10195,03/04/2024,Wireless Mouse,Electronics,1,33.7,30.33,Ibadan,Store D,Online,Cash,0.1,6.39
ORD10196,02/11/2024,Backpack,Accessories,4,90.77,330.4,Port Harcourt,Store B,Online,Card,0.09,95.5
ORD10197,22/02/2024,Keyboard,Electronics,2,136.47,251.1,Ibadan,Store A,Offline,Transfer,0.08,46.16
ORD10198,06/08/2024,Backpack,Accessories,3,154.7,445.54,Kano,Store D,Online,Transfer,0.04,104.82
ORD10199,20/04/2024,Bookshelf,Furniture,2,185.25,348.27,Ibadan,Store B,Online,Card,0.06,105.44
ORD10200,23/05/2024,Phone Case,Accessories,4,49.75,181.09,Ibadan,Store A,Offline,Mobile Money,0.09,32.67
ORD10201,28/05/2024,Backpack,Accessories,3,194.85,526.1,Abuja,Store A,Offline,Cash,0.1,164.3
ORD10202,10/09/2024,Phone Case,Accessories,4,36.12,140.15,Kano,Store C,Offline,Mobile Money,0.03,25.18
ORD10203,01/10/2024,Desk Organizer,Stationery,4,248,763.84,Abuja,Store B,Online,Transfer,0.23,108.1
ORD10204,31/10/2024,Laptop Stand,Electronics,4,283.08,1030.41,Ibadan,Store B,Offline,Cash,0.09,196.18
ORD10205,28/06/2024,Desk Organizer,Stationery,4,202.6,777.98,Kano,Store B,Online,Card,0.04,153.4
ORD10206,28/06/2024,Desk Organizer,Stationery,2,214.67,399.29,Lagos,Store D,Online,Card,0.07,83.25
ORD10207,24/12/2024,Bookshelf,Furniture,2,115.8,213.07,Kano,Store C,Online,Cash,0.08,67.72
ORD10208,26/10/2024,Standing Desk,Furniture,5,52.35,198.93,Kano,Store B,Offline,Cash,0.24,25.85
ORD10209,30/04/2024,Stapler,Stationery,5,45.44,206.75,Ibadan,Store D,Online,Card,0.09,29.68
ORD10210,23/05/2024,Drawer Cabinet,Furniture,5,298.76,1419.11,Port Harcourt,Store A,Offline,Mobile Money,0.05,393.38
ORD10211,03/01/2024,Keyboard,Electronics,4,266.73,874.87,Port Harcourt,Store A,Offline,Cash,0.18,132.57
ORD10212,22/10/2024,Wireless Mouse,Electronics,1,260.78,239.92,Kano,Store D,Offline,Cash,0.08,50.71
ORD10213,08/10/2024,Backpack,Accessories,3,280.05,756.14,Abuja,Store B,Online,Cash,0.1,158.07
ORD10214,13/08/2024,Standing Desk,Furniture,1,76.11,68.5,Kano,Store A,Online,Cash,0.1,20.28
ORD10215,30/04/2024,Wireless Mouse,Electronics,4,257.07,956.3,Port Harcourt,Store D,Offline,Card,0.07,127.38
ORD10216,05/05/2024,Phone Case,Accessories,5,112.4,550.76,Lagos,Store D,Online,Card,0.02,71.22
ORD10217,04/02/2024,Pen Pack,Stationery,2,90.02,158.44,Kano,Store D,Online,Mobile Money,0.12,16.9
ORD10218,04/11/2024,USB Cable,Electronics,5,255.17,1046.2,Kano,Store D,Online,Mobile Money,0.18,207.56
ORD10219,23/12/2024,Laptop Sleeve,Accessories,3,134.17,394.46,Port Harcourt,Store A,Online,Transfer,0.02,97.81
ORD10220,09/08/2024,USB Cable,Electronics,1,208.45,177.18,Abuja,Store A,Offline,Mobile Money,0.15,17.88
ORD10221,31/10/2024,Keyboard,Electronics,4,170.34,613.22,Lagos,Store C,Offline,Mobile Money,0.1,67.59
ORD10222,29/01/2024,Bookshelf,Furniture,3,233.48,532.33,Port Harcourt,Store B,Offline,Mobile Money,0.24,112.01
ORD10223,07/12/2024,Pen Pack,Stationery,3,155.44,391.71,Ibadan,Store D,Offline,Cash,0.16,113.57
ORD10224,29/02/2024,Notebook,Stationery,1,297.98,262.22,Port Harcourt,Store C,Offline,Transfer,0.12,80.07
ORD10225,16/08/2024,Office Chair,Furniture,5,299.35,1122.56,Ibadan,Store C,Offline,Cash,0.25,351.06
ORD10226,24/08/2024,Keyboard,Electronics,2,232.04,389.83,Port Harcourt,Store A,Offline,Card,0.16,45.3
